"result #"	"search engine"	query	"article title"	"article url"	"article description"	"total nr of results (best guess)"
0	bing	"democratic candidates 2024"	"Who are the Democrats running for president in 2024? | Reuters"	https://www.bing.com/ck/a?!&&p=1a376bfdacef4786JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTEyMQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cucmV1dGVycy5jb20vd29ybGQvdXMvZGVtb2NyYXRpYy1jYW5kaWRhdGVzLXJ1bm5pbmctdXMtcHJlc2lkZW50LTIwMjQtMjAyMy0wOS0xOC8&ntb=1	"WebJan 21, 2024 · Here are the leading candidates running to be the Democratic nominee: JOE BIDEN Biden, 81, already the oldest U.S. president ever, will have to convince voters he has the stamina for another..."	791000
1	bing	"democratic candidates 2024"	"Who Are the 2024 Presidential Election Candidates? - The New …"	https://www.bing.com/ck/a?!&&p=54a9d857d31aa125JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTEzNw&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cubnl0aW1lcy5jb20vaW50ZXJhY3RpdmUvMjAyMy91cy9wb2xpdGljcy9wcmVzaWRlbnRpYWwtY2FuZGlkYXRlcy0yMDI0Lmh0bWw&ntb=1	"WebJan 21, 2024 · Democrats Biden Williamson Phillips Republicans Trump Haley Binkley Independent and third-party Kennedy West Stein Dropped out Burgum Christie DeSantis Elder Hurd Hutchinson Johnson Pence..."	791000
2	bing	"democratic candidates 2024"	"The 2024 presidential candidates: Who’s running from both sides"	https://www.bing.com/ck/a?!&&p=526e64f4ce4a9f80JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTE1NA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cubmJjbmV3cy5jb20vcG9saXRpY3MvMjAyNC1lbGVjdGlvbnMvcHJlc2lkZW50aWFsLWNhbmRpZGF0ZXMtdHJhY2tlcg&ntb=1	"WebJan 30, 2024 · The Democrats Incumbent Joe Biden Marianne Williamson Dean Phillips Third Party Robert F. Kennedy Jr. Cornel West Jill Stein The Republicans Back to Top Former President of the United States..."	791000
3	bing	"democratic candidates 2024"	"2024 Democratic Party presidential primaries - Wikipedia"	https://www.bing.com/ck/a?!&&p=6f180776b2c71a62JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTE3MQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvMjAyNF9EZW1vY3JhdGljX1BhcnR5X3ByZXNpZGVudGlhbF9wcmltYXJpZXM&ntb=1	"WebAggregate polls of declared candidates in the 2024 Democratic Party presidential primaries Source of poll aggregation Dates administered Dates updated Joe Biden Dean Phillips Marianne Williamson Other/undecided Margin 270 to Win: January 3–29, 2024 February 2, 2024 74.0%: 4.0% 5.2% 16.8% Biden +68.8: FiveThirtyEight: through January 29, 2024"	791000
4	bing	"democratic candidates 2024"	"The top 10 Democratic presidential candidates for 2024, ranked"	https://www.bing.com/ck/a?!&&p=d95cd338784fa646JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTE4OQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cud2FzaGluZ3RvbnBvc3QuY29tL3BvbGl0aWNzLzIwMjIvMTAvMTUvdG9wLXRlbi1kZW1vY3JhdHMtMjAyNC1yYW5rZWQv&ntb=1	"WebOct 15, 2022 · With the election just over the horizon and Biden’s decision not far behind that, here are our latest quarterly rankings of the 10 potential candidates from among whom the 2024 Democratic ..."	791000
5	bing	"democratic candidates 2024"	"2024 Democratic Party presidential candidates - Wikipedia"	https://www.bing.com/ck/a?!&&p=c9e55b8a218ab1b9JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTIwNg&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvMjAyNF9EZW1vY3JhdGljX1BhcnR5X3ByZXNpZGVudGlhbF9jYW5kaWRhdGVz&ntb=1	"WebThe following is a list of candidates associated with the 2024 Democratic Party presidential primaries for the 2024 United States presidential election. As of November 2023, more than 180 candidates have filed with the Federal Election Commission (FEC) to run for the Democratic nomination in 2024."	791000
6	bing	"democratic candidates 2024"	"Who’s running for president in 2024? The Republican and Democratic …"	https://www.bing.com/ck/a?!&&p=db09bcd56c4670d7JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTIyNA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cudGhlZ3VhcmRpYW4uY29tL3VzLW5ld3MvbmctaW50ZXJhY3RpdmUvMjAyNC9qYW4vMjEvcHJlc2lkZW50aWFsLWVsZWN0aW9uLWNhbmRpZGF0ZXMtYmlkZW4tdHJ1bXA&ntb=1	"WebJan 21, 2024 · Democrats biden phillips uygur williamson Third party kennedy stein west Dropped out burgum christie desantis elder hurd hutchinson johnson pence ramaswamy scott suarez Republicans Ryan Binkley..."	791000
7	bing	"democratic candidates 2024"	"Democratic presidential nomination, 2024 - Ballotpedia"	https://www.bing.com/ck/a?!&&p=95f1471b7d7a5623JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTI0Mg&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9iYWxsb3RwZWRpYS5vcmcvRGVtb2NyYXRpY19wcmVzaWRlbnRpYWxfbm9taW5hdGlvbixfMjAyNA&ntb=1	"WebDec 23, 2023 · Ballotpedia""s presidential election coverage 2024 • 2020 • 2016 The Democratic Party will select its presidential nominee at the 2024 Democratic National Convention, which will take place from August 19-22, 2024, in Chicago, Illinois ."	791000
8	bing	"democratic candidates 2024"	"Ranking the 2024 Democratic field | CNN Politics"	https://www.bing.com/ck/a?!&&p=47ce87f228369251JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTI2MA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cuY25uLmNvbS8yMDIyLzA5LzIwL3BvbGl0aWNzLzIwMjQtZGVtb2NyYXRpYy1wcmVzaWRlbnRpYWwtcmFua2luZ3MtYmlkZW4taGFycmlzL2luZGV4Lmh0bWw&ntb=1	"WebSep 20, 2022 · 10. Roy Coope r: Winning twice in a Republican-leaning state – with Trump on the ballot both times – is not an easy accomplishment. And there is significant precedent for a southern Democratic..."	791000
9	bing	"democratic candidates 2024"	"The top 10 Democratic presidential candidates for 2024, ranked"	https://www.bing.com/ck/a?!&&p=4fa33de47346badeJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTI3OA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cud2FzaGluZ3RvbnBvc3QuY29tL3BvbGl0aWNzLzIwMjMvMDIvMTkvdG9wLWRlbW9jcmF0cy0yMDI0LXJhbmtlZC8&ntb=1	"WebFeb 19, 2023 · The top 10 Democratic presidential candidates for 2024, ranked - The Washington Post The top 10 Democratic presidential candidates for 2024, ranked Analysis by Aaron Blake Staff writer..."	791000
