"result #"	"search engine"	query	"article title"	"article url"	"article description"	"total nr of results (best guess)"
0	bing	"republican candidates 2024"	"Here""s a list of Republican 2024 presidential candidates : NPR"	https://www.bing.com/ck/a?!&&p=81b8c6ba874f36e4JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTEyMQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cubnByLm9yZy8yMDIzLzAzLzA4LzExNjAxMTM5NTQvMjAyNC1yZXB1YmxpY2FuLXByZXNpZGVudGlhbC1jYW5kaWRhdGVzLXdoby1pcy1ydW5uaW5nLXRyYWNrZXI&ntb=1	"WebMar 8, 2023 · Republicans face a likely crowded field for the chance to challenge President Biden, who is expected to announce he""s running for reelection. Here""s who""s in and who""s thinking about a 2024 run."	2800000
1	bing	"republican candidates 2024"	"2024 Republican Party presidential primaries - Wikipedia"	https://www.bing.com/ck/a?!&&p=feec363aa83762c6JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTEzNw&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvMjAyNF9SZXB1YmxpY2FuX1BhcnR5X3ByZXNpZGVudGlhbF9wcmltYXJpZXM&ntb=1	"WebAs of February 2024, more than 400 candidates have filed with the Federal Election Commission (FEC) to run for the Republican presidential nomination in 2024. In previous cycles, the majority of these candidates did not appear on any ballots, raise money, or otherwise attempt to formally campaign."	2800000
2	bing	"republican candidates 2024"	"2024 Republican presidential candidates | CNN Politics"	https://www.bing.com/ck/a?!&&p=b622ac2a5912a9cdJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTE1NQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cuY25uLmNvbS9lbGVjdGlvbi8yMDI0L3ByZXNpZGVudGlhbC1jYW5kaWRhdGVz&ntb=1	"WebAug 24, 2023 · Who are the 2024 Republican presidential candidates? Here’s who’s running in the U.S. election, where they stand on key issues and more"	2800000
3	bing	"republican candidates 2024"	"Who Are the 2024 Presidential Election Candidates? - The New …"	https://www.bing.com/ck/a?!&&p=c19c86d682b62d4bJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTE3Mg&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cubnl0aW1lcy5jb20vaW50ZXJhY3RpdmUvMjAyMy91cy9wb2xpdGljcy9wcmVzaWRlbnRpYWwtY2FuZGlkYXRlcy0yMDI0Lmh0bWw&ntb=1	"WebJan 21, 2024 · Who Are the 2024 Presidential Election Candidates? - The New York Times Advertisement Who’s Running for President in 2024? and Updated Jan. 21, 2024 Leer en español Democrats Biden..."	2800000
4	bing	"republican candidates 2024"	"National : President: Republican primary : 2024 Polls"	https://www.bing.com/ck/a?!&&p=e9a07b664f3b1ea2JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTE4OQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9wcm9qZWN0cy5maXZldGhpcnR5ZWlnaHQuY29tL3BvbGxzL3ByZXNpZGVudC1wcmltYXJ5LXIvMjAyNC9uYXRpb25hbC8&ntb=1	"Web3 days ago · Updating average for each Republican candidate in 2024 primary polls, accounting for each poll""s recency, sample size, methodology and house effects. April 1, 2023 July 1 Oct. 1 Jan. 1,..."	2800000
5	bing	"republican candidates 2024"	"2024 Republican Party presidential candidates - Wikipedia"	https://www.bing.com/ck/a?!&&p=eba0ed735ced4766JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTIwNg&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvMjAyNF9SZXB1YmxpY2FuX1BhcnR5X3ByZXNpZGVudGlhbF9jYW5kaWRhdGVz&ntb=1	"WebThe following is a list of candidates associated with the 2024 Republican Party presidential primaries for the 2024 United States presidential election. As of December 2023, more than 400 candidates have filed with the Federal Election Commission (FEC) to run for the Republican nomination in 2024."	2800000
6	bing	"republican candidates 2024"	"The top 10 Republican presidential candidates for 2024, ranked"	https://www.bing.com/ck/a?!&&p=f7dec95dcc84e6e1JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTIyNA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cud2FzaGluZ3RvbnBvc3QuY29tL3BvbGl0aWNzLzIwMjMvMDcvMjkvdG9wLTEwLXJlcHVibGljYW4tcHJlc2lkZW50aWFsLWNhbmRpZGF0ZXMtMjAyNC1yYW5rZWQv&ntb=1	"WebJul 29, 2023 · The top 10 Republican presidential candidates for 2024, ranked Analysis by Aaron Blake Staff writer July 29, 2023 at 10:00 a.m. EDT Sen. Tim Scott (R-S.C.) shaking hands with then-President..."	2800000
7	bing	"republican candidates 2024"	"Who’s running for president in 2024? The Republican and …"	https://www.bing.com/ck/a?!&&p=5fe2e78a0f318144JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTI0Mg&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cudGhlZ3VhcmRpYW4uY29tL3VzLW5ld3MvbmctaW50ZXJhY3RpdmUvMjAyNC9qYW4vMjEvcHJlc2lkZW50aWFsLWVsZWN0aW9uLWNhbmRpZGF0ZXMtYmlkZW4tdHJ1bXA&ntb=1	"WebJan 21, 2024 · The Republican and Democratic candidates Donald Trump leads a big field of Republican hopefuls seeking to best Joe Biden or one of his long-shot challengers in the 2024 election Guardian..."	2800000
8	bing	"republican candidates 2024"	"Who""s running for president? See a rundown of the 2024 candidates"	https://www.bing.com/ck/a?!&&p=4b7ec02e53abe015JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTI2MA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9hcG5ld3MuY29tL2FydGljbGUvd2hvcy1ydW5uaW5nLWZvci1wcmVzaWRlbnQtMjAyNC00MzdlZGIzYTJiYzU4MWNjZDE0ZTkxYmVmYWE1NjFjMw&ntb=1	"WebDec 5, 2023 · Stein announced Nov. 9 that she will again run under the Green Party banner. “I’m running for president to offer that choice for the people outside of the failed two-party system,” she said. She ran against Trump and Democrat Hillary Clinton in 2016 as a Green Party candidate and received about 1% of the vote."	2800000
9	bing	"republican candidates 2024"	"2024 United States presidential election - Wikipedia"	https://www.bing.com/ck/a?!&&p=d1af99de06aa4348JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTI3Nw&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvMjAyNF9Vbml0ZWRfU3RhdGVzX3ByZXNpZGVudGlhbF9lbGVjdGlvbg&ntb=1	"WebCurrent results of the 2024 Republican presidential primaries Donald Trump , the then-incumbent president, was defeated by Biden in the 2020 election and is not term-limited to run again in 2024, making him the fifth ex-president to seek a second non-consecutive term."	2800000
