"result #"	"search engine"	query	"article title"	"article url"	"article description"	"total nr of results (best guess)"
0	duckduckgo	"democratic candidates 2024"	"Who are the Democrats running for president in 2024? | Reuters"	https://www.reuters.com/world/us/democratic-candidates-running-us-president-2024-2023-09-18/	"JOE BIDEN Biden, 81, already the oldest U.S. president ever, will have to convince voters he has the stamina for another four years in office, amid poor approval ratings. Biden allies say he..."	0
1	duckduckgo	"democratic candidates 2024"	"Who Are the 2024 Presidential Election Candidates? - The New York Times"	https://www.nytimes.com/interactive/2023/us/politics/presidential-candidates-2024.html	"Democrats Biden Williamson Phillips Republicans Trump Haley Binkley Independent and third-party Kennedy West Stein Dropped out Burgum Christie DeSantis Elder Hurd Hutchinson Johnson Pence Ramaswamy..."	0
2	duckduckgo	"democratic candidates 2024"	"The 2024 presidential candidates: Who's running from both sides"	https://www.nbcnews.com/politics/2024-elections/presidential-candidates-tracker	"The Democrats Incumbent Joe Biden Marianne Williamson Dean Phillips Third Party Robert F. Kennedy Jr. Cornel West Jill Stein The Republicans Back to Top Former President of the United States Donald..."	0
3	duckduckgo	"democratic candidates 2024"	"The top 10 Democratic presidential candidates for 2024, ranked"	https://www.washingtonpost.com/politics/2022/10/15/top-ten-democrats-2024-ranked/	"The top ten Democrats most likely to become the 2024 presidential nominee - The Washington Post Advertisement This article was published more than 1 year ago Politics Biden administration The Fix..."	0
4	duckduckgo	"democratic candidates 2024"	"2024 Democratic Party presidential candidates - Wikipedia"	https://en.wikipedia.org/wiki/2024_Democratic_Party_presidential_candidates	"2024Democratic Party presidential candidates ← 2020 2028 → Previous Democratic nominee Joe Biden 2024 U.S. presidential election Timeline Presidential debates Parties Polling national statewide Fundraising News media endorsements ( primaries) Ballot access Democratic Party Primaries Candidates Debates and forums Polling Results Endorsements"	0
5	duckduckgo	"democratic candidates 2024"	"11 Democrats who could replace Joe Biden in 2024 - CNN"	https://www.cnn.com/2021/12/13/politics/2024-democrats-replace-biden/index.html	"Combine President Joe Biden's age (he'll be 82 shortly after the 2024 election) and his ongoing political struggles (he's mired in the low 40s in job approval) and you get this: a series of..."	0
6	duckduckgo	"democratic candidates 2024"	"Democratic presidential nomination, 2024 - Ballotpedia"	https://ballotpedia.org/Democratic_presidential_nomination,_2024	"The Democratic Party will select its presidential nominee at the 2024Democratic National Convention, which will take place from August 19-22, 2024, in Chicago, Illinois.. Prior to the national convention, individual state caucuses and primaries are held to allocate convention delegates. To read more about the 2024 primary schedule click here.These delegates, along with superdelegates who come ..."	0
7	duckduckgo	"democratic candidates 2024"	"2024 Democratic Party presidential primaries - Wikipedia"	https://en.wikipedia.org/wiki/2024_Democratic_Party_presidential_primaries	"Joe Biden Presumptive Democratic nominee TBD 2024 U.S. presidential election Timeline Presidential debates Parties Polling national statewide Fundraising News media endorsements ( primaries) Ballot access Democratic Party Primaries Candidates Debates and forums Polling Results Endorsements Convention Republican Party Primaries Candidates"	0
8	duckduckgo	"democratic candidates 2024"	"Who's running for president in 2024? The Republican and Democratic ..."	https://www.theguardian.com/us-news/ng-interactive/2024/jan/21/presidential-election-candidates-biden-trump	"The Republican and Democraticcandidates Donald Trump leads a big field of Republican hopefuls seeking to best Joe Biden or one of his long-shot challengers in the 2024 election Guardian..."	0
9	duckduckgo	"democratic candidates 2024"	"The top 10 Democratic presidential candidates for 2024, ranked"	https://www.washingtonpost.com/politics/2022/12/03/top-10-democratic-presidential-candidates-2024-ranked/	"The top 10 Democratic presidential candidates for 2024, ranked Analysis by Aaron Blake Staff writer December 3, 2022 at 7:00 a.m. EST President Biden speaks as Vice President Harris, right,..."	0
