"result #"	"search engine"	query	"article title"	"article url"	"article description"	"total nr of results (best guess)"
0	duckduckgo	"republican candidates 2024"	"Here's a list of Republican 2024 presidential candidates : NPR"	https://www.npr.org/2023/03/08/1160113954/2024-republican-presidential-candidates-who-is-running-tracker	"Elections 2024Republican presidential candidates: A list of who is running Updated January 21, 20245:10 PM ET By Domenico Montanaro , Jacob Fenton Republicans could have a crowded field of..."	0
1	duckduckgo	"republican candidates 2024"	"2024 Republican presidential candidates | CNN Politics"	https://www.cnn.com/election/2024/presidential-candidates	"Doug Burgum Mike McCleary/The Bismarck Tribune/AP North Dakota Gov. Doug Burgum ended his campaign for the Republican presidential nomination in December 2023 and endorsed former President Donald..."	0
2	duckduckgo	"republican candidates 2024"	"2024 Republican Party presidential candidates - Wikipedia"	https://en.wikipedia.org/wiki/2024_Republican_Party_presidential_candidates	"Results Endorsements Convention Republican Party Primaries Candidates Debates and forums Polling national statewide Endorsements Results Convention Third parties Libertarian Party primaries Green Party primaries"	0
3	duckduckgo	"republican candidates 2024"	"Who Are the 2024 Presidential Election Candidates? - The New York Times"	https://www.nytimes.com/interactive/2023/us/politics/presidential-candidates-2024.html	"Who Are the 2024 Presidential Election Candidates? - The New York Times Advertisement Who's Running for President in 2024? and Updated Jan. 21, 2024 Leer en español Democrats Biden..."	0
4	duckduckgo	"republican candidates 2024"	"National : President: Republican primary : 2024 Polls"	https://projects.fivethirtyeight.com/polls/president-primary-r/2024/national/	"See the latest national polling averages for the 2024Republican primary, accounting for each poll's recency, sample size, methodology and house effects. Find out who's ahead in the national polls, state polls and favorability polls for the top contenders, including Trump, Haley, DeSantis and Haley."	0
5	duckduckgo	"republican candidates 2024"	"The 2024 presidential candidates: Who's running from both sides"	https://www.nbcnews.com/politics/2024-elections/presidential-candidates-tracker	"The Republicans Donald Trump Nikki Haley Ron DeSantis Asa Hutchinson Vivek Ramaswamy Chris Christie Doug Burgum Tim Scott Mike Pence Larry Elder Perry Johnson Will Hurd Francis Suarez The Democrats..."	0
6	duckduckgo	"republican candidates 2024"	"Who's running for president? Here are the major 2024 candidates | AP News"	https://apnews.com/article/presidential-candidates-2024-301db5ce310cafc97025682b39ceac6e	"FILE - Republican presidential candidate former UN Ambassador Nikki Haley speaks during a campaign event in Derry, N.H., Jan. 21, 2024. Two major Republicancandidates are left competing for their party's 2024 presidential nomination after the departure of Florida Gov. Ron DeSantis from the race."	0
7	duckduckgo	"republican candidates 2024"	"The top 10 Republican presidential candidates for 2024, ranked"	https://www.washingtonpost.com/politics/2023/07/29/top-10-republican-presidential-candidates-2024-ranked/	"The top 10 Republican presidential candidates for 2024, ranked Analysis by Aaron Blake Staff writer July 29, 2023 at 10:00 a.m. EDT Sen. Tim Scott (R-S.C.) shaking hands with then-President..."	0
8	duckduckgo	"republican candidates 2024"	"Republican Candidates 2024: Meet the GOP Presidential Hopefuls - POLITICO"	https://www.politico.com/interactives/2023/republican-candidates-2024-gop-presidential-hopefuls-list/	"A scouting report on the three categories of GOP presidential hopefuls in 2024: the favorites, the contenders and the long shots. Learn about their chances, challenges and strategies to capture the nomination and challenge Joe Biden."	0
9	duckduckgo	"republican candidates 2024"	"Here are the Republicans considering 2024 presidential runs"	https://www.cnn.com/2023/02/14/politics/2024-republican-presidential-contenders-list/index.html	"Donald Trump, Nikki Haley, Ron DeSantis, Mike Pence, Tim Scott, Ted Cruz, Glenn Youngkin, Chris Sununu, Kristi Noem, Greg Abbott, Larry Hogan, Chris Christie, Asa Hutchinson, Mike Pompeo, Liz..."	0
10	duckduckgo	"republican candidates 2024"	"President: Republican primary : 2024 Polls | FiveThirtyEight"	https://projects.fivethirtyeight.com/polls/president-primary-r/2024/	"Updating average for each Republicancandidate in 2024 primary polls, accounting for each poll's recency, sample size, methodology and house effects. KEY. ... Organizations are considered partisan if they operate on behalf of a candidate, party, campaign committee, PAC, ..."	0
11	duckduckgo	"republican candidates 2024"	"2024 Republican Party presidential primaries - Wikipedia"	https://en.wikipedia.org/wiki/2024_Republican_Party_presidential_primaries	"Democratic Party Primaries Candidates Debates and forums Polling Results Endorsements Convention Republican Party Primaries Candidates Debates and forums Polling national statewide Endorsements Results Convention Third parties Libertarian Party primaries Green Party primaries Third-party and independent candidates polling Related races Senate House"	0
12	duckduckgo	"republican candidates 2024"	"Who's running for president in 2024? The Republican and Democratic ..."	https://www.theguardian.com/us-news/ng-interactive/2024/jan/21/presidential-election-candidates-biden-trump	"burgum christie desantis elder hurd hutchinson johnson pence ramaswamy scott suarez Republicans Ryan Binkley Businessman and pastor Binkley, a Texas businessman, is a long-shot candidate who is..."	0
13	duckduckgo	"republican candidates 2024"	"2024 Republican presidential candidates | CNN Politics"	https://www.cnn.com/2023/05/24/politics/2024-republican-presidential-candidates-what-matters/index.html	"Donald Trump gallery In pictures: Former President Donald Trump Announced campaign: November 2022 The divisive former president is the prohibitive Republican frontrunner despite his efforts to..."	0
14	duckduckgo	"republican candidates 2024"	"Presidential candidates, 2024 - Ballotpedia"	https://ballotpedia.org/Presidential_candidates,_2024	"As of January 2024, Ballotpedia has identified three noteworthy Democratic presidential candidates and three noteworthy Republicancandidates. We identify noteworthy primary candidates based on previous or current officeholder status, previous presidential ballot access, media coverage, and primary debate polling and fundraising thresholds."	0
15	duckduckgo	"republican candidates 2024"	"President: general election : 2024 Polls | FiveThirtyEight"	https://projects.fivethirtyeight.com/polls/president-general/2024/	"Kari Lake is a Republican Party candidate for office. Biden: 41%. Biden: 41%. Biden. 41%. Trump. 45%. 45%. Trump : Trump +4: Jan. 30, 2024. President: general election, North Carolina, 2024. Jan. 26-31. 760: RV: ... presidential approval and national 2024Republican primary averages is available for download here. Notice any bugs or missing ..."	0
16	duckduckgo	"republican candidates 2024"	"Who is running for president? Meet the 2024 presidential candidates."	https://www.usatoday.com/story/news/politics/elections/2023/12/14/2024-presidential-candidates-republicans-democrats/71691815007/	"Anna Kaufman Veronica Bravo USA TODAY The 2024 election cycle has kicked off, and the race is heating up even as Election Day is months away . President Joe Biden is seeking another term in the..."	0
17	duckduckgo	"republican candidates 2024"	"Nevada GOP primary: 'None of these candidates' option wins, Haley loses ..."	https://apnews.com/article/nevada-2024-presidential-primary-biden-trump-haley-d731bf8ab1e7d4a7379c07d3a37b581b	"Updated 10:02 PM PST, February 6, 2024. LAS VEGAS (AP) — Nikki Haley was swamped Tuesday in Nevada's symbolic Republican presidential primary as GOP voters resoundingly picked the ""none of these candidates"" option on the ballot in a repudiation of the former U.N. ambassador who is the last remaining major rival to front-runner Donald Trump."	0
18	duckduckgo	"republican candidates 2024"	"'None of these candidates' takes the Nevada Republican primary, dealing ..."	https://www.npr.org/2024/02/07/1229716545/none-of-these-candidates-nevada-republican-primary-nikki-haley	"Republican presidential candidate former UN Ambassador Nikki Haley speaks during a campaign rally on Monday in Spartanburg, S.C. Haley has focused her campaign attention and resources on South ..."	0
19	duckduckgo	"republican candidates 2024"	"Haley loses Republican Nevada primary to 'none of these candidates ..."	https://www.reuters.com/world/us/nikki-haley-set-win-nevada-republican-primary-victory-will-be-hollow-2024-02-06/	"Feb 6 (Reuters) - Republican presidential candidate Nikki Haley suffered an embarrassing defeat in Nevada's primary on Tuesday, finishing behind ballots marked ""none of these candidates"" by ..."	0
20	duckduckgo	"republican candidates 2024"	"'None of these candidates' defeats Nikki Haley in Nevada Republican ..."	https://www.cnbc.com/2024/02/07/nevada-republican-primary-nbc-news-projects.html	"Republican presidential candidate, former U.N. Ambassador Nikki Haley speaks during a campaign rally at the Indigo Hall and Events venue on Feb. 5, 2024 in Spartanburg, South Carolina."	0
21	duckduckgo	"republican candidates 2024"	"The Latest Updates On The 2024 Republican Presidential Primary"	https://projects.fivethirtyeight.com/2024-republican-primary-updates/	"Follow the latest news and analysis on the 2024Republican presidential primary, including national and state polls, endorsement points, dates and results. See who's ahead in key race metrics, such as net favorability, favorability and endorsement points, and how they compare to previous candidates."	0
22	duckduckgo	"republican candidates 2024"	"2024 Election: News, polls and results | CNN Politics"	https://www.cnn.com/election/2024	"2024 election guide: Presidential candidates, polls, primaries and caucuses, voter information and results for November 5, 2024 ... It takes 1,215 of 2,429 delegates to win the Republican ..."	0
