"result #"	"search engine"	query	"article title"	"article url"	"article description"	"total nr of results (best guess)"
0	google	"democratic candidates 2024"	"Who Are the 2024 Presidential Election Candidates?"	https://www.nytimes.com/interactive/2023/us/politics/presidential-candidates-2024.html		128000000
1	google	"democratic candidates 2024"	"Who's running for president in 2024? The Republican and ..."	https://www.theguardian.com/us-news/ng-interactive/2024/jan/21/presidential-election-candidates-biden-trump		128000000
2	google	"democratic candidates 2024"	"2024 Democratic Party presidential primaries"	https://en.wikipedia.org/wiki/2024_Democratic_Party_presidential_primaries		128000000
3	google	"democratic candidates 2024"	"US presidential election 2024: Who are the candidates?"	https://www.reuters.com/world/us/who-are-candidates-running-2024-us-presidential-election-2023-09-19/		128000000
4	google	"democratic candidates 2024"	"2024 Democratic Party presidential candidates"	https://en.wikipedia.org/wiki/2024_Democratic_Party_presidential_candidates		128000000
5	google	"democratic candidates 2024"	"Presidential candidates, 2024"	https://ballotpedia.org/Presidential_candidates,_2024		128000000
6	google	"democratic candidates 2024"	"Democratic presidential nomination, 2024"	https://ballotpedia.org/Democratic_presidential_nomination,_2024		128000000
7	google	"democratic candidates 2024"	"Tracking the 2024 presidential candidates"	https://www.nbcnews.com/politics/2024-elections/presidential-candidates-tracker		128000000
8	google	"democratic candidates 2024"	"Who's running for president in 2024? Meet the candidates"	https://www.cbsnews.com/live-updates/whos-running-president-2024-candidates-democratic-republican/		128000000
9	google	"democratic candidates 2024"	"Who's running for president? Here are the major 2024 ..."	https://apnews.com/article/presidential-candidates-2024-301db5ce310cafc97025682b39ceac6e		128000000
10	google	"democratic candidates 2024"	"National : President: Democratic primary : 2024 Polls"	https://projects.fivethirtyeight.com/polls/president-primary-d/2024/national/		128000000
11	google	"democratic candidates 2024"	"US presidential election 2024: Joe Biden's Democratic ..."	https://www.bbc.com/news/world-us-canada-63654388		128000000
12	google	"democratic candidates 2024"	"Who is running for president in 2024? All the candidates ..."	https://www.usatoday.com/story/news/politics/elections/2023/12/14/2024-presidential-candidates-republicans-democrats/71691815007/		128000000
13	google	"democratic candidates 2024"	"Who are the Democrats running for president in 2024?"	https://www.reuters.com/world/us/democratic-candidates-running-us-president-2024-2023-09-18/		128000000
14	google	"democratic candidates 2024"	"Who is running for president in 2024? Meet the candidates"	https://www.independent.co.uk/news/world/americas/us-politics/presidential-candidates-2024-democratic-republican-b2475830.html		128000000
15	google	"democratic candidates 2024"	"How the 2024 Republican and Democratic presidential ..."	https://abcnews.go.com/Politics/2024-republican-democratic-presidential-primaries-caucuses-work/story?id=106765290		128000000
16	google	"democratic candidates 2024"	"2024 Election: News, polls and results"	https://www.cnn.com/election/2024		128000000
17	google	"democratic candidates 2024"	"Who's running for president? See a rundown of the 2024 ..."	https://apnews.com/article/whos-running-for-president-2024-f3555069195ad71e466646f826dad779		128000000
18	google	"democratic candidates 2024"	"Democrats launch their first slate of challengers in the fight ..."	https://www.nbcnews.com/politics/2024-election/democrats-endorse-candidates-house-majority-rcna135967		128000000
19	google	"democratic candidates 2024"	"2024 candidates: Here's who is running for President next ..."	https://thehill.com/homenews/campaign/3859531-heres-who-is-running-for-president-in-2024/		128000000
20	google	"democratic candidates 2024"	"US election 2024: The longshot candidates who could ..."	https://www.bbc.com/news/world-us-canada-67383271		128000000
21	google	"democratic candidates 2024"	"2024 Qualified Candidates"	https://aldemocrats.org/2024-qualified-candidates		128000000
22	google	"democratic candidates 2024"	"President: Democratic primary : 2024 Polls | FiveThirtyEight"	https://projects.fivethirtyeight.com/polls/president-primary-d/		128000000
23	google	"democratic candidates 2024"	"March 5, 2024 Democratic Presidential Primary Election"	https://www.elections.virginia.gov/casting-a-ballot/candidate-list/march-5-2024-democratic-presidential-primary/		128000000
24	google	"democratic candidates 2024"	"Who Is Running for President in 2024?"	https://people.com/politics/2024-presidential-candidates/		128000000
25	google	"democratic candidates 2024"	"Who is running for president in 2024 and who has dropped ..."	https://www.washingtonpost.com/politics/interactive/presidential-candidates-2024/		128000000
26	google	"democratic candidates 2024"	"These Democrats could be contenders for their party's ..."	https://www.cnn.com/2023/12/03/politics/2028-democrats-biden-surrogates/index.html		128000000
27	google	"democratic candidates 2024"	"2024 Democratic Presidential Nomination - 270toWin"	https://www.270towin.com/2024-democratic-nomination/		128000000
28	google	"democratic candidates 2024"	"Meet the 2024 presidential candidates"	https://www.axios.com/2023/05/24/us-president-elections-2024-candidates		128000000
29	google	"democratic candidates 2024"	"US presidential polls 2024: Who are the candidates running ..."	https://www.livemint.com/news/world/us-presidential-polls-2024-who-are-the-candidates-running-for-white-house-11701967038520.html		128000000
30	google	"democratic candidates 2024"	"2024 Democratic Presidential Candidates: Who Is Running?"	https://www.teenvogue.com/story/2024-democratic-presidential-candidates-who-is-running		128000000
31	google	"democratic candidates 2024"	"US Politics Democratic Candidate Betting Odds"	https://www.oddschecker.com/politics/us-politics/us-presidential-election-2024/democratic-candidate		128000000
32	google	"democratic candidates 2024"	"If Biden doesn't run in 2024, here are the main rivals for ..."	https://theconversation.com/if-biden-doesnt-run-in-2024-here-are-the-main-rivals-for-the-democratic-nomination-199151		128000000
33	google	"democratic candidates 2024"	"Election 2024 latest news: It's primary day in Nevada, but ..."	https://www.washingtonpost.com/elections/2024/02/06/2024-election-campaign-updates/		128000000
34	google	"democratic candidates 2024"	"The top six potential Democratic candidates for 2024"	https://theweek.com/news/world-news/us/957403/us-presidential-election-2024-the-possible-democratic-candidates		128000000
35	google	"democratic candidates 2024"	"Democrat Marianne Williamson announces 2024 ..."	https://www.pbs.org/newshour/politics/democrat-marianne-williamson-announces-2024-presidential-run		128000000
36	google	"democratic candidates 2024"	"Biden projected to win South Carolina's 2024 Democratic ..."	https://www.cbsnews.com/news/south-carolina-democratic-primary-2024/		128000000
37	google	"democratic candidates 2024"	"Democratic Rep. Dean Phillips launches 2024 White House ..."	https://abcnews.go.com/Politics/democratic-rep-dean-phillips-launches-2024-white-house/story?id=104352110		128000000
38	google	"democratic candidates 2024"	"Who will win the 2024 Democratic presidential nomination?"	https://www.predictit.org/markets/detail/7057/Who-will-win-the-2024-Democratic-presidential-nomination		128000000
39	google	"democratic candidates 2024"	"2024 Presidential Primary Candidate List"	https://www.sos.state.co.us/pubs/elections/vote/presidentialPrimaryCandidates.html		128000000
40	google	"democratic candidates 2024"	"Who are the candidates running in the 2024 US ..."	https://www.thehindubusinessline.com/news/world/who-are-the-candidates-running-in-the-2024-us-presidential-election/article67325071.ece		128000000
41	google	"democratic candidates 2024"	"The 2024 presidential primary tracker"	https://www.brookings.edu/articles/the-2024-presidential-primary-tracker/		128000000
42	google	"democratic candidates 2024"	"Most US Democrats want new candidate for 2024 ..."	https://www.timesofisrael.com/most-us-democrats-want-new-candidate-for-2024-presidential-election-poll-finds/		128000000
43	google	"democratic candidates 2024"	"5 Democratic Or Independent 2024 Presidential Candidates ..."	https://www.bet.com/article/wr15kd/democratic-independent-third-party-candidates-challenging-biden-2024		128000000
44	google	"democratic candidates 2024"	"10 Democrats who could run in 2024 if Biden doesn't"	https://thehill.com/homenews/campaign/586948-ten-democrats-who-could-run-in-2024-if-biden-doesnt/		128000000
45	google	"democratic candidates 2024"	"Which Democrats could run against Joe Biden in 2024?"	https://theweek.com/joe-biden/1015407/democrats-challenge-biden-2024		128000000
46	google	"democratic candidates 2024"	"Filing in the 2024 Republican or Democratic Primary Election"	https://www.sos.texas.gov/elections/candidates/guide/2024/demorrep2024.shtml		128000000
47	google	"democratic candidates 2024"	"Is Biden a strong nominee for 2024 — or is that malarkey?"	https://www.vox.com/politics/23562688/joe-biden-2024-presidential-election-polls-democrats		128000000
48	google	"democratic candidates 2024"	"Official List of Candidates for 2024 South Carolina ..."	http://scdp.org/scdp-news/press-releases/official-list-of-candidates-for-2024-south-carolina-democratic-party-presidential-primary/		128000000
49	google	"democratic candidates 2024"	"The 2024 U.S. Presidential Race: A Cheat Sheet"	https://www.theatlantic.com/ideas/archive/2024/01/tracking-democrat-republican-presidential-candidates-2024-election/673118/		128000000
