"result #"	"search engine"	query	"article title"	"article url"	"article description"	"total nr of results (best guess)"
0	google	"republican candidates 2024"	"2024 Republican presidential candidates | CNN Politics"	https://www.cnn.com/election/2024/presidential-candidates		136000000
1	google	"republican candidates 2024"	"Republican Candidates 2024: Meet the GOP Presidential ..."	https://politico.com/interactives/2023/republican-candidates-2024-gop-presidential-hopefuls-list/		136000000
2	google	"republican candidates 2024"	"2024 Republican Party presidential primaries"	https://en.wikipedia.org/wiki/2024_Republican_Party_presidential_primaries		136000000
3	google	"republican candidates 2024"	"Who's running for president in 2024? The Republican and ..."	https://www.theguardian.com/us-news/ng-interactive/2024/jan/21/presidential-election-candidates-biden-trump		136000000
4	google	"republican candidates 2024"	"Tracking the 2024 presidential candidates"	https://www.nbcnews.com/politics/2024-elections/presidential-candidates-tracker		136000000
5	google	"republican candidates 2024"	"US presidential election 2024: Who are the candidates?"	https://www.reuters.com/world/us/who-are-candidates-running-2024-us-presidential-election-2023-09-19/		136000000
6	google	"republican candidates 2024"	"The 2024 Republican Presidential Candidates"	https://www.democracydocket.com/2024-gop/		136000000
7	google	"republican candidates 2024"	"Who's running for president? Here are the major 2024 ..."	https://apnews.com/article/presidential-candidates-2024-301db5ce310cafc97025682b39ceac6e		136000000
8	google	"republican candidates 2024"	"National : President: Republican primary : 2024 Polls"	https://projects.fivethirtyeight.com/polls/president-primary-r/2024/national/		136000000
9	google	"republican candidates 2024"	"Who Are the 2024 Presidential Election Candidates?"	https://www.nytimes.com/interactive/2023/us/politics/presidential-candidates-2024.html		136000000
10	google	"republican candidates 2024"	"1. The Republican presidential nomination"	https://www.pewresearch.org/politics/2023/12/14/the-republican-presidential-nomination/		136000000
11	google	"republican candidates 2024"	"2024 Republican Party presidential candidates"	https://en.wikipedia.org/wiki/2024_Republican_Party_presidential_candidates		136000000
12	google	"republican candidates 2024"	"Presidential candidates, 2024"	https://ballotpedia.org/Presidential_candidates,_2024		136000000
13	google	"republican candidates 2024"	"New Hampshire Republican primary: Who are the main ..."	https://www.bbc.com/news/world-us-canada-63550237		136000000
14	google	"republican candidates 2024"	"President: Republican primary : 2024 Polls | FiveThirtyEight"	https://projects.fivethirtyeight.com/polls/president-primary-r/2024/		136000000
15	google	"republican candidates 2024"	"Who's running for president in 2024? Meet the candidates"	https://www.cbsnews.com/live-updates/whos-running-president-2024-candidates-democratic-republican/		136000000
16	google	"republican candidates 2024"	"Who's running for president? See a rundown of the 2024 ..."	https://apnews.com/article/whos-running-for-president-2024-f3555069195ad71e466646f826dad779		136000000
17	google	"republican candidates 2024"	"2024 Republican Primary Polls"	https://pro.morningconsult.com/trackers/2024-gop-primary-election-tracker		136000000
18	google	"republican candidates 2024"	"Who is the candidate challenging Donald Trump for ..."	https://www.reuters.com/world/us/republican-candidates-running-us-president-2023-09-19/		136000000
19	google	"republican candidates 2024"	"Republican Presidential Candidates 2024: Who Is Running?"	https://www.teenvogue.com/story/republican-presidential-candidates-2024		136000000
20	google	"republican candidates 2024"	"Who is running for president in 2024? All the candidates ..."	https://www.usatoday.com/story/news/politics/elections/2023/12/14/2024-presidential-candidates-republicans-democrats/71691815007/		136000000
21	google	"republican candidates 2024"	"US election 2024: who are the Republican presidential ..."	https://www.ft.com/content/c0ac9d59-2285-4efc-b786-355a10ff3661		136000000
22	google	"republican candidates 2024"	"Here's a list of Republican 2024 presidential candidates"	https://www.npr.org/2023/03/08/1160113954/2024-republican-presidential-candidates-who-is-running-tracker		136000000
23	google	"republican candidates 2024"	"Meet the 2024 presidential candidates"	https://www.axios.com/2023/05/24/us-president-elections-2024-candidates		136000000
24	google	"republican candidates 2024"	"2024 Republican Candidates"	https://www.hrc.org/resources/2024-republican-candidates		136000000
25	google	"republican candidates 2024"	"2024 Election: News, polls and results"	https://www.cnn.com/election/2024		136000000
26	google	"republican candidates 2024"	"Ranking the 2024 Republican presidential candidates"	https://thehill.com/homenews/campaign/4321996-2024-gop-presidential-candidates-rankings/		136000000
27	google	"republican candidates 2024"	"Republican candidates hit the campaign trail in final weeks ..."	https://www.nbcnews.com/politics/2024-election/live-blog/election-2024-iowa-caucus-live-updates-rcna131513		136000000
28	google	"republican candidates 2024"	"2024 Republican Presidential Nomination - 270toWin"	https://www.270towin.com/2024-republican-nomination/		136000000
29	google	"republican candidates 2024"	"The incredible shrinking GOP presidential field"	https://www.axios.com/2023/11/19/presidential-candidates-2024-trump-republicans		136000000
30	google	"republican candidates 2024"	"Comparing where 2024 presidential candidates stand on ..."	https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/		136000000
31	google	"republican candidates 2024"	"The 2024 Republican presidential primary could be over in a ..."	https://abcnews.go.com/538/donald-trumps-lead-gop-primary-insurmountable/story?id=105661719		136000000
32	google	"republican candidates 2024"	"Republican primaries poll tracker: can anyone beat Donald ..."	https://economist.com/interactive/2024-republican-primaries-tracker		136000000
33	google	"republican candidates 2024"	"Live updates: 4th GOP debate in the 2024 presidential race"	https://www.pbs.org/newshour/politics/live-updates-4th-gop-debate-in-the-2024-presidential-race		136000000
34	google	"republican candidates 2024"	"The top 10 Republican presidential candidates for 2024, ..."	https://www.washingtonpost.com/politics/2023/07/29/top-10-republican-presidential-candidates-2024-ranked/		136000000
35	google	"republican candidates 2024"	"2024 Presidential Primary Candidate List"	https://www.sos.state.co.us/pubs/elections/vote/presidentialPrimaryCandidates.html		136000000
36	google	"republican candidates 2024"	"2024 Republican Presidential Delegate Tracker"	https://www.nytimes.com/interactive/2024/us/elections/republican-primary-delegates-tracker-calendar.html		136000000
37	google	"republican candidates 2024"	"New Hampshire: How does the Republican Party pick its ..."	https://www.bbc.com/news/world-us-canada-66472537		136000000
